---- Minecraft Profiler Results ----
// Speedy. Zoooooom!

Time span: 5181 ms
Tick span: 103 ticks
// This is approximately 19.88 ticks per second. It should be 20 ticks per second

--- BEGIN PROFILE DUMP ---

[00] levels - 94.67%/94.67%
[01]  My minecraft world tour - 99.71%/95.22%
[02]   tick - 98.24%/93.55%
[03]    entities - 75.36%/70.49%
[04]     regular - 99.58%/70.20%
[05]      tick - 96.51%/67.75%
[06]       ai - 30.69%/20.79%
[07]        newAi - 92.23%/19.18%
[08]         goalSelector - 42.98%/8.24%
[09]          unspecified - 86.70%/7.15%
[09]          canUse - 7.13%/0.59%
[09]          goalStart - 3.30%/0.27%
[10]           unspecified - 68.48%/0.19%
[10]           tt - 21.18%/0.06%
[11]            pathfind - 97.27%/0.06%
[11]            unspecified - 2.73%/0.00%
[10]           ts - 9.03%/0.02%
[10]           sw - 0.65%/0.00%
[10]           su - 0.28%/0.00%
[10]           tw - 0.21%/0.00%
[10]           tc - 0.09%/0.00%
[10]           te - 0.07%/0.00%
[09]          goalTick - 2.19%/0.18%
[10]           unspecified - 99.52%/0.18%
[10]           checkLight - 0.48%/0.00%
[11]            unspecified - 77.78%/0.00%
[11]            getBrightness - 22.22%/0.00%
[11]            checkedPosition < toCheckCount - 0.00%/0.00%
[09]          canContinue - 0.68%/0.06%
[08]         unspecified - 22.38%/4.29%
[08]         targetSelector - 16.84%/3.23%
[09]          unspecified - 92.96%/3.00%
[09]          goalStart - 2.97%/0.10%
[09]          goalTick - 2.83%/0.09%
[09]          canUse - 1.24%/0.04%
[08]         controls - 12.04%/2.31%
[09]          unspecified - 66.05%/1.53%
[09]          look - 17.80%/0.41%
[09]          move - 10.51%/0.24%
[09]          jump - 5.65%/0.13%
[08]         checkDespawn - 2.08%/0.40%
[08]         navigation - 1.51%/0.29%
[08]         sensing - 1.10%/0.21%
[08]         mob tick - 1.07%/0.21%
[07]        unspecified - 4.12%/0.86%
[07]        oldAi - 3.66%/0.76%
[08]         unspecified - 46.62%/0.35%
[08]         ai - 25.91%/0.20%
[08]         stroll - 23.26%/0.18%
[09]          pathfind - 98.31%/0.17%
[09]          unspecified - 1.69%/0.00%
[08]         followpath - 4.20%/0.03%
[06]       unspecified - 28.85%/19.54%
[06]       travel - 20.24%/13.71%
[07]        rest - 45.80%/6.28%
[07]        move - 30.43%/4.17%
[07]        unspecified - 23.76%/3.26%
[06]       entityBaseTick - 5.93%/4.02%
[07]        unspecified - 91.29%/3.67%
[07]        portal - 8.71%/0.35%
[06]       looting - 5.51%/3.73%
[06]       livingEntityBaseTick - 4.07%/2.76%
[06]       move - 1.32%/0.89%
[06]       push - 0.92%/0.63%
[06]       mobBaseTick - 0.64%/0.44%
[06]       chunkCheck - 0.61%/0.41%
[06]       rest - 0.48%/0.33%
[06]       headTurn - 0.38%/0.26%
[06]       jump - 0.18%/0.12%
[06]       rangeChecks - 0.16%/0.11%
[06]       checkLight - 0.00%/0.00%
